lemma	source	sumerian	gloss	value	squareColor	order
VE 131	B9-11					0153
VE 132	AA					0154
VE 133	EBK-A					0155
VE 134	EBK-A					0156
VE 135	A4-6					0157
VE 136	B9-11					0158
VE 137	AD					0159
VE 138	EBK-A					0160
VE 139	B9-11					0161
VE 140	AD					0162
VE 141	A4-6					0163
VE 142	AI					0164
VE 143	AK					0165
VE 144	EBK-A					0166
VE 145	AZ					0167
VE 146	BA					0168
VE 147	A III 683					0169
VE 148	f					0170
VE 149	A4-6					0171
VE 150	B9-11					0172
VE 151	AK					0173
VE 152	A4-6					0174
VE 153	AK					0175
VE 154	BA					0176
VE 155	AO					0177
VE 156	A4-6					0178
VE 157	B9-11					0179
VE 158	AK					0180
VE 159	AV					0181
VE 160	AT					0182
VE 161	EBK-A					0183
VE 162	A4-6					0184
VE 163	B9-11					0185
VE 164	AK					0186
VE 165	AU					0187
VE 166	EBK-A					0188
VE 167	A4-6					0189
VE 168	B9-11					0190
VE 169	EBK-A					0191
VE 170	A4-6					0192
VE 171	AK					0193
VE 172	B9-11					0194
VE 173	v					0195
VE 174	EBK-A					0196
VE 175	A4-6					0197
VE 176	B9-11					0198
VE 177	A7					0199
VE 178	B9-11					0200
VE 179	EBK-A					0201
VE 180	A1					0202
VE 181	B9-11					0203
VE 182	h					0204
VE 183	BG					0205
VE 184	BB					0206
VE 185	AZ					0207
VE 186	BD					0208
VE 187	AZ					0209
VE 188	d					0210
VE 189	d					0211
VE 190	EBK-A					0212
VE 191	EBK-A					0213
VE 192	A1					0214
VE 193	EBK-A					0215
VE 194	A1					0216
VE 195	C					0217
VE 196	EBK-A					0218
VE 197	A1					0219
VE 198	B8					0220
VE 199	EBK-A					0221
VE 200	C					0222
VE 201	F					0223
VE 202	f					0224
VE 203	i					0225
VE 204	EBK-A					0226
VE 205	A2					0227
VE 206	L					0228
VE 230	C					0229
VE 231	EBK-A					0230
VE 232	A2					0231
VE 233	B8					0232
VE 234	C					0233
VE 235	K					0234
VE 236	i					0235
VE 237	EBK-A					0236
VE 238	A4-6					0237
VE 239	ak					0238
VE 240	s					0239
VE 241	EBK-A					0240
